DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
2001-03-08,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,6.6,6.6,6.6,6.6,6.6,6.55,0.0,1,100000,660.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-03-08,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1,1000,2000.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,66
2001-03-08,02,TEPR11,10,BRASIL TELEC,ON *CRT,0,R$,14.51,14.51,14.51,14.51,14.51,14.26,0.0,2,200000,2902.0,0.0,0,9999-12-31,1000,0.0,BRTEPRA01OR0,103
2001-03-09,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,6.55,6.55,6.55,6.55,6.55,6.15,0.0,2,200000,1310.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-03-09,02,TEPR11,10,BRASIL TELEC,ON *CRT,0,R$,14.01,14.01,14.01,14.01,14.01,13.33,14.69,1,200000,2802.0,0.0,0,9999-12-31,1000,0.0,BRTEPRA01OR0,103
2001-03-12,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,2.1,2.1,2.1,2.1,2.1,2.0,0.0,1,10000,21000.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,66
2001-03-12,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,6.2,6.2,6.2,6.2,6.2,6.2,7.5,2,500000,3100.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-03-13,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,83.0,83.0,83.0,83.0,83.0,81.0,83.5,4,200000,16600.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-03-13,02,TEPR11,10,BRASIL TELEC,ON *CRT,0,R$,13.0,13.0,12.8,12.9,12.8,12.0,13.5,2,200000,2580.0,0.0,0,9999-12-31,1000,0.0,BRTEPRA01OR0,103
2001-03-13,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,6.3,6.3,6.3,6.3,6.3,6.2,0.0,1,400000,2520.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
