2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
BBAS4,BBDC3,BBDC3,BEES3,BECE3,BEES3,BDLL3,BCAL6,BCAL6,BEMA3,BEMA3,BHGR3,BICB3,BGIP4,BICB4,BIOM3,BMIN3,BGIP3,BIDI4,BIDI4,BGIP3,BBRK3,BBRK3,BBDC3,BBAS3,BAZA3,BBSE3
BBCM3,BBDC4,BBDC4,BELG3,BECE4,BELG3,BDLL4,BDLL3,BDLL4,BGIP3,BGIP3,BICB3,BICB4,BHGR3,BIOM3,BISA3,BMIN4,BGIP4,BIOM3,BIOM3,BGIP4,BBSE3,BBSE3,BBDC4,BBDC3,BBAS3,BEEF3
BBCM4,BCAL6,BCAL6,BELG4,BEES3,BELG4,BECE3,BDLL4,BEEF3,BGIP4,BGIP4,BICB4,BIOM3,BICB3,BISA3,BMEB3,BMKS3,BIOM3,BKBR3,BKBR3,BIDI3,BEEF3,BEEF3,BBSE3,BBDC4,BBDC3,BEES3
BBDC3,BDLL3,BDEP3,BEMG3,BELG3,BESP3,BECE4,BEEF3,BEES3,BICB3,BHGR3,BIOM3,BIOM4,BICB4,BMEB3,BMEB4,BMTO3,BKBR3,BMEB3,BMEB3,BIDI4,BEES3,BEES3,BEEF3,BBSE3,BBDC4,BEES4
BBDC4,BDLL4,BDLL3,BEMG4,BELG4,BESP4,BEES3,BEES3,BEES4,BICB4,BICB3,BIOM4,BISA3,BIOM3,BMEB4,BMIN3,BMTO4,BMEB3,BMEB4,BMEB4,BIOM3,BEES4,BEES4,BEES3,BEEF3,BBSE3,BGIP3
BCAL6,BECE3,BDLL4,BEPA3,BESP3,BFIT3,BESP3,BEMA3,BEMA3,BIOM3,BICB4,BISA3,BMEB3,BIOM4,BMIN3,BMIN4,BNBR3,BMEB4,BMIN3,BMGB4,BKBR3,BGIP3,BGIP3,BEES4,BEES3,BEEF3,BGIP4
BDEP3,BECE4,BECE3,BEPA4,BESP4,BFIT4,BESP4,BESP3,BGIP3,BIOM4,BIOM3,BMEB3,BMEB4,BISA3,BMIN4,BMKS3,BOBR4,BMIN3,BMIN4,BMIN3,BMEB3,BGIP4,BGIP4,BGIP3,BEES4,BEES3,BHIA3
BDLL3,BEES3,BECE4,BESP3,BFIT3,BGIP3,BFIT3,BESP4,BGIP4,BISA3,BIOM4,BMEB4,BMIN3,BMEB3,BMKS3,BMTO3,BPAC3,BMIN4,BMKS3,BMIN4,BMEB4,BIDI3,BIDI3,BGIP4,BGIP3,BEES4,BIED3
BDLL4,BELG3,BEES3,BESP4,BFIT4,BGIP4,BFIT4,BFIT3,BICB3,BMEB3,BISA3,BMIN3,BMIN4,BMEB4,BMTO3,BMTO4,BPAC5,BMKS3,BNBR3,BMKS3,BMGB4,BIDI4,BIDI4,BHIA3,BGIP4,BGIP3,BIOM3
BEBA5,BELG4,BELG3,BEXC4,BGIP3,BIOM3,BGIP3,BFIT4,BICB4,BMEB4,BMEB3,BMIN4,BMKS3,BMIN3,BMTO4,BNBR3,BPAN4,BNBR3,BOBR4,BNBR3,BMIN3,BIOM3,BIOM3,BIOM3,BHIA3,BGIP4,BLAU3
BEBA6,BEMG3,BELG4,BFIT3,BGIP4,BIOM4,BGIP4,BGIP3,BIOM3,BMIN3,BMEB4,BMKS3,BMTO3,BMIN4,BNBR3,BOBR4,BPHA3,BOBR4,BPAC3,BOBR4,BMIN4,BKBR3,BKBR3,BLAU3,BIED3,BHIA3,BMEB3
BECE3,BEMG4,BEMG3,BFIT4,BIOM3,BMEB4,BIOM3,BGIP4,BIOM4,BMIN4,BMIN3,BMTO3,BMTO4,BMKS3,BNBR4,BPAN4,BRAP3,BPAC3,BPAC5,BPAC3,BMKS3,BLAU3,BLAU3,BMEB3,BIOM3,BIED3,BMEB4
BECE4,BEPA3,BEMG4,BGIP3,BIOM4,BMIN3,BIOM4,BICB3,BISA3,BMKS3,BMIN4,BMTO4,BNBR3,BMTO3,BOBR4,BPHA3,BRAP4,BPAC5,BPAN4,BPAC5,BNBR3,BLUT3,BLUT3,BMEB4,BLAU3,BIOM3,BMGB4
BEES3,BEPA4,BEPA3,BGIP4,BMEB3,BMIN4,BISA3,BICB4,BMEB3,BMTO3,BMKS3,BNBR3,BNBR4,BMTO4,BPAN4,BRAP3,BRFS3,BPAN4,BPAR3,BPAN4,BOAS3,BLUT4,BLUT4,BMGB4,BMEB3,BLAU3,BMIN4
BELG3,BESP3,BEPA4,BGOS3,BMEB4,BMKS3,BMEB3,BIOM3,BMEB4,BMTO4,BMTO3,BNBR4,BOBR4,BNBR3,BPHA3,BRAP4,BRGE3,BPHA3,BPHA3,BPAR3,BOBR3,BMEB3,BMEB3,BMIN3,BMEB4,BMEB3,BMKS3
BELG4,BESP4,BESP3,BGOS4,BMIN3,BMTO3,BMEB4,BIOM4,BMEF3,BNBR3,BMTO4,BOBR4,BPHA3,BNBR4,BPNM4,BRFS3,BRGE5,BRAP3,BRAP3,BRAP3,BOBR4,BMEB4,BMEB4,BMIN4,BMGB4,BMEB4,BMOB3
BEMG3,BEXC4,BESP4,BHEQ3,BMIN4,BMTO4,BMIN3,BISA3,BMIN3,BNBR4,BNBR3,BPHA3,BPNM4,BOBR4,BRAP3,BRGE3,BRGE6,BRAP4,BRAP4,BRAP4,BPAC3,BMGB4,BMGB4,BMKS3,BMIN3,BMGB4,BNBR3
BEMG4,BFIT3,BEXC4,BHEQ4,BMKS3,BNBR3,BMIN4,BMBR4,BMIN4,BNCA3,BNBR4,BPNM4,BRAP3,BPHA3,BRAP4,BRGE5,BRGE7,BRDT3,BRDT3,BRDT3,BPAC5,BMIN3,BMIN3,BMOB3,BMIN4,BMIN3,BPAC3
