DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,TOTNEG,QUATOT,VOLTOT,FATCOT,CODISI
2026-01-02,96,AZTE11F,20,AZT ENERGIA,BNS ORD,R$,0.19,0.23,0.19,0.21,0.21,19,404,87.0,1,BRAZTEN01OR8
2026-01-02,96,AZEV4F,20,AZEVEDO,PN,R$,0.22,0.22,0.21,0.21,0.22,268,4786,1047.78,1,BRAZEVACNPR7
2026-01-02,96,AZEV3F,20,AZEVEDO,ON,R$,0.25,0.26,0.23,0.25,0.26,116,1707,431.2,1,BRAZEVACNOR0
2026-01-02,96,AZEV12F,20,AZEVEDO,BNS,R$,0.07,0.07,0.07,0.07,0.07,1,20,1.4,1,BRAZEVN02M13
2026-01-02,96,AZZA3F,20,AZZAS 2154,ON  ED  NM,R$,25.59,25.59,24.89,25.15,25.35,1203,17048,428887.82,1,BRAZZAACNOR9
2026-01-02,96,BMIN3F,20,MERC INVEST,ON,R$,23.35,23.35,23.35,23.35,23.35,1,1,23.35,1,BRBMINACNOR4
2026-01-02,96,BMIN4F,20,MERC INVEST,PN,R$,18.43,19.4,18.43,19.34,19.4,6,18,348.23,1,BRBMINACNPR1
2026-01-02,96,BMOB3F,20,BEMOBI TECH,ON      NM,R$,22.69,22.81,21.92,22.18,22.12,722,5244,116312.73,1,BRBMOBACNOR7
2026-01-02,96,ITUB4F,20,ITAUUNIBANCO,PN  EJB N1,R$,39.67,39.78,39.15,39.45,39.15,8648,72895,2875889.71,1,BRITUBACNPR1
2026-01-02,96,BOBR4F,20,BOMBRIL,PN,R$,1.18,1.18,1.18,1.18,1.18,36,526,620.68,1,BRBOBRACNPR3
2026-01-02,96,BNBR3F,20,NORD BRASIL,ON,R$,114.0,129.99,114.0,127.61,129.99,18,73,9315.57,1,BRBNBRACNOR8
2026-01-02,96,AXIA6F,20,AXIA ENERGIA,PNB EX  N1,R$,52.87,53.43,52.11,52.61,52.75,855,10264,540076.37,1,BRAXIAACNPB1
2026-01-02,96,AXIA3F,20,AXIA ENERGIA,ON  EB  N1,R$,50.73,51.15,49.98,50.29,50.1,2392,17265,868282.06,1,BRAXIAACNOR0
2026-01-02,96,AVLL3F,20,ALPHAVILLE,ON      NM,R$,0.95,1.07,0.93,1.0,0.96,19,141,141.22,1,BRAVLLACNOR5
2026-01-02,96,OBTC3F,20,ORANJEBTC,ON,R$,9.9,10.1,9.5,9.78,9.9,196,2707,26493.72,1,BROBTCACNOR0
2026-01-02,96,ODPV3F,20,ODONTOPREV,ON  EDJ NM,R$,11.33,11.4,11.13,11.19,11.13,1251,20668,231285.38,1,BRODPVACNOR4
2026-01-02,96,OFSA3F,20,OUROFINO S/A,ON  EJ  NM,R$,23.12,23.19,22.21,22.53,22.22,42,127,2861.64,1,BROFSAACNOR7
2026-01-02,96,SOND5F,20,SONDOTECNICA,PNA ED,R$,60.0,60.0,60.0,60.0,60.0,1,14,840.0,1,BRSONDACNPA8
2026-01-02,96,SUZB3F,20,SUZANO S.A.,ON  ED  NM,R$,51.45,52.09,51.31,51.7,51.75,1425,14058,726936.87,1,BRSUZBACNOR0
2026-01-02,96,PDGR3F,20,PDG REALT,ON      NM,R$,1.46,1.5,1.43,1.46,1.43,74,1004,1467.82,1,BRPDGRACNOR8
2026-01-02,96,PDTC3F,20,PADTEC,ON      NM,R$,1.35,1.37,1.24,1.3,1.37,65,584,763.8,1,BRPDTCACNOR3
2026-01-02,96,PEAB4F,20,PAR AL BAHIA,PN  ED,R$,37.62,37.62,37.62,37.62,37.62,2,24,902.88,1,BRPEABACNPR0
2026-01-02,96,PETR3F,20,PETROBRAS,ON  EDJ N2,R$,32.71,32.71,31.95,32.25,32.27,3365,27835,897786.19,1,BRPETRACNOR9
2026-01-02,96,PETR4F,20,PETROBRAS,PN  EDJ N2,R$,31.1,31.11,30.37,30.61,30.78,26291,250175,7660089.29,1,BRPETRACNPR6
2026-01-02,96,POSI3F,20,POSITIVO TEC,ON      NM,R$,4.05,4.24,4.05,4.16,4.12,590,10241,42664.34,1,BRPOSIACNOR9
2026-01-02,96,PRIO3F,20,PETRORIO,ON      NM,R$,41.49,41.83,40.9,41.34,41.83,2857,25661,1060999.86,1,BRPRIOACNOR1
2026-01-02,96,RAIZ4F,20,RAIZEN,PN      N2,R$,0.82,0.83,0.8,0.81,0.81,2204,37782,30824.2,1,BRRAIZACNPR6
2026-01-02,96,RANI3F,20,IRANI,ON      NM,R$,8.8,8.8,8.62,8.68,8.63,1407,19626,170488.73,1,BRRANIACNOR5
2026-01-02,96,RAPT3F,20,RANDON PART,ON      N1,R$,5.94,6.01,5.78,5.86,5.78,94,1174,6888.47,1,BRRAPTACNOR7
2026-01-02,96,RAPT4F,20,RANDON PART,PN      N1,R$,5.73,5.79,5.44,5.56,5.48,567,8812,49041.54,1,BRRAPTACNPR4
2026-01-02,96,SMTO3F,20,SAO MARTINHO,ON      NM,R$,15.35,15.35,14.62,14.86,14.78,873,12398,184302.6,1,BRSMTOACNOR3
2026-01-02,96,VALE3F,20,VALE,ON      NM,R$,72.26,72.54,71.64,72.0,71.98,8332,67748,4878409.54,1,BRVALEACNOR0
2026-01-02,96,WDCN3F,20,WDC NETWORKS,ON      NM,R$,2.6,2.7,2.6,2.65,2.7,16,236,625.54,1,BRWDCNACNOR2
2026-01-02,96,WEGE3F,20,WEG,ON  ED  NM,R$,48.51,49.08,48.15,48.6,48.2,3972,35412,1721155.68,1,BRWEGEACNOR0
2026-01-02,96,MGEL4F,20,MANGELS INDL,PN,R$,5.72,5.72,5.72,5.72,5.72,2,8,45.76,1,BRMGELACNPR3
